"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155.984880302394","171.319796954315","175.344129554656","168.781911013858","163.267359946327","164.591203738233","145.072879516204","139.021956378172","134.33499493461","133.960084352967","133.653243477694","146.481006590773","143.464899733299","142.363306909232","141.187287523436","140.062909532337","136.31879090553","157.208415564428","","","","","","",
"Afghanistan","AFG","Trade (% of GDP)","NE.TRD.GNFS.ZS","11.157026581176","12.5506095641626","14.2276444262674","26.0355114281704","26.9444479475307","32.6710826152849","27.1428573129252","20.9827354616946","24.110033071763","25.0788642331499","21.7281100678648","27.0631374536424","32.8690810352185","27.6923087928995","28.8659801551706","26.9483576711852","28.0869566604915","26.4860798295929","24.7138040330125","","","","","","","","","","","","","","","","","","","","","","","","97.6744227499797","137.901039454029","121.13581870045","104.862400564151","100.555349411331","76.1737610946716","73.0655202440326","56.9068174248469","54.9673280956042","50.3012220744035","44.659247762082","56.0656699360918","52.3415771924704","55.8037319477867","55.9212268517258","",
"Angola","AGO","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","66.6666666666667","66.6666666666667","50","142.307692307692","109.293680297398","161.206062560464","","152.110071538601","137.673744209478","129.867499498373","178.993785452216","152.455652525852","150.335506425828","124.960019264281","130.453709432875","124.395163649483","139.657431958794","118.774521429097","117.473814380647","127.544978235049","110.316372139747","105.33770684752","107.515671130085","102.05283093764","95.0689515397759","90.2287335026096","70.3229192099866","59.4603347870241","",
"Albania","ALB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","45.8250749506054","44.497605577662","43.2525386847195","39.00562196255","36.7904298195613","34.685406148026","30.5250142005462","31.0288080231291","35.600305738476","38.6585297289146","38.0657831094828","34.8163862743792","100.002686541879","77.7150689060593","50.3020121386065","46.9874219923069","43.2202029460839","43.9356497213417","45.4813408285662","48.0297479959828","55.9204287230026","57.4303612453301","63.9342407411882","65.4406219482911","66.3578254370479","70.2953012017196","73.4550491659384","82.8724226308549","77.4517110851705","75.0949053413577","76.5434715491159","81.2185485414313","76.5101734744528","75.6951968260662","75.4078339395339","72.1282875738338","74.7939821264524","",
"Andorra","AND","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","59.1729868769108","59.4509013565247","62.3593465566842","81.2108907280433","74.7067689483784","82.8591205198454","77.6047248453577","80.6621365016905","78.4769541224683","81.316668026071","84.7993227631216","87.4451483076177","82.6387652954818","75.0405780063345","71.732956112736","64.8090700973969","57.2113357801254","58.9161516505299","60.628081377046","65.9003616940641","65.4718194728692","68.772670353288","63.9368276849627","60.3934667713995","58.6578968675334","61.846026636663","61.8783363181662","68.430535171135","66.4375864799633","66.4496649695384","70.8186705463524","72.3568032436606","73.7207159387636","79.9069107732515","84.9972447384845","89.0762865144794","89.6511921896385","93.4542791831857","97.7795428519596","89.6617548168131","90.2046502831712","94.3756287622655","95.3990361147364","94.4918926528152","93.0702439966636","89.5139160867596","85.747931706721","",
"United Arab Emirates","ARE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8645799289427","93.0716588147781","102.300169490783","116.622673310185","119.55312400123","119.470702677257","136.798152865771","148.513544025723","153.461944358373","156.745926421337","171.350899703428","185.574916265455","185.777992029226","188.122994837378","196.429484315077","205.260995984101","",
"Argentina","ARG","Trade (% of GDP)","NE.TRD.GNFS.ZS","15.2080960873797","11.9898923109727","14.0755256495637","15.7809062353749","11.1274296795488","10.3764574099485","11.6426054171411","12.492660372918","11.8881648852942","12.7974266330598","10.3374440809233","12.6151889155439","14.0356431972715","13.3221685115576","13.1915798576321","11.8027242947756","15.0968846246649","16.9422865680472","14.3237963724531","12.8406846410014","11.5456724604615","14.2929774789475","15.6114860999886","14.9876701068591","12.3463814292217","18.009425070688","14.4860327921395","15.448969882952","15.743458608705","19.6377977018838","14.9908589999441","13.7530541588892","14.730980586353","16.2231515323488","18.1342254505904","19.771500987766","21.506358172293","23.336144697619","23.349944346555","21.3826567862219","22.6225023420697","21.8524228521558","41.7527512956683","40.6446897458032","40.692646108947","40.5668918868544","40.4334798719151","40.945170618571","40.4026733790382","34.0571269054879","34.9710132635696","35.2061549999644","30.5265423717108","29.3339290021037","28.4111340481274","22.8566082644851","26.2661551426149","",
"Armenia","ARM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3357185450209","100.865855188857","101.076759405526","107.973146280234","112.428831044431","86.1148549605111","79.2295615718099","78.5477445199017","71.8424531375795","70.5604195051967","73.9185677483324","71.6171966314838","75.9434195954309","82.1876465514541","75.0372101843166","72.0389254730378","62.6091930629355","58.3364583828817","55.7028621156341","58.4788698681044","66.1472866893029","71.1108651220388","75.9667433930304","76.5561957927212","75.6116848388122","71.5932653468932","75.7300066619886","",
"American Samoa","ASM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209.533073929961","205.692599620493","200.5859375","221.073558648111","227.620967741935","216.538461538462","247.779751332149","160.176991150442","156.423611111111","155.749128919861","174.689440993789","171.294851794072","171.695178849145","164.491654021244","158.510638297872","",
"Antigua and Barbuda","ATG","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","85.6332309315756","101.915842514694","132.967354224339","128.948064017801","142.106411585762","146.839625585656","115.974510211796","133.021878338811","140.659123073428","171.930622794216","157.226918531444","137.800782461083","143.540484081861","149.272126887192","151.074063796822","158.973000516075","156.544805710029","145.629808203147","145.602178284139","137.264769638368","135.403263117099","131.319408132489","130.795256680996","116.281790623437","116.380690044774","110.764541209897","116.566020522206","122.481460918338","120.133080374279","118.11379194986","115.423208721794","115.283599454991","103.581582371424","104.364082719019","103.246858561683","102.798764074336","106.154465713388","104.155817102385","93.2406974385871","88.7302849004793","",
